"","gene","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol","product","location"
"1","LMB2_000288",360.423925691042,0.311314727758507,0.0970391221969238,3.20813627236599,0.00133598179607306,0.0471041827140203,NA,NA,288
"2","LMB2_000881",237.127947555402,1.31506706716101,0.410727081461101,3.20180267267222,0.00136570516325213,0.0471041827140203,NA,"NrdH-redoxin",881
"3","LMB2_002623",248.287228103691,0.620593288663593,0.193685937512848,3.20412156211613,0.001354752625132,0.0471041827140203,NA,"hypothetical protein",2623
"4","LMB2_002920",1444.82841682142,1.87181551891466,0.583788552989908,3.20632446341752,0.00134442302280445,0.0471041827140203,NA,NA,2920
"5","LMB2_001017",7838.51563800344,2.13737869968638,0.663140002929511,3.22311833133912,0.00126803158655976,0.0454174774993761,NA,"FAD-binding protein",1017
"6","LMB2_001367",685.413488729128,0.338970989562302,0.105139990399242,3.2239967711158,0.00126414825024496,0.0454174774993761,NA,"ATP-dependent DNA helicase RecQ",1367
"7","LMB2_000683",2333.39063871352,2.16480762161323,0.669921535794221,3.23143458740547,0.00123170512127429,0.0450079199331322,NA,"SRPBCC family protein",683
"8","LMB2_001193",270.159258528182,1.23507584060669,0.38222660034359,3.23126605918179,0.00123243163306832,0.0450079199331322,NA,"Asp23/Gls24 family envelope stress response protein",1193
"9","LMB2_002242",2001.65513929136,2.15587680487829,0.664120753256349,3.24621206957845,0.00116951684217234,0.0435645023709198,NA,"DUF3071 domain-containing protein",2242
"10","LMB2_000044",391.360085649854,0.713627717802178,0.219294752019424,3.25419423506755,0.0011371450060409,0.042786516641438,NA,NA,44
"11","LMB2_002268",171.049803475689,0.687951646764968,0.210905637472209,3.26189311490366,0.00110670863770225,0.0420662211779681,NA,"GNAT family N-acetyltransferase",2268
"12","LMB2_002622",122.735680263461,0.83210148492482,0.254605233808327,3.26820259143317,0.00108232861822482,0.0415636505452315,NA,"DUF1905 domain-containing protein",2622
"13","LMB2_003003",331.501237800238,1.29327599652117,0.395235508149851,3.27216550601731,0.00106727078743474,0.041412330033275,NA,"VOC family protein",3003
"14","LMB2_002472",668.402310412753,2.14870501879001,0.654713955485632,3.28189891293246,0.00103110562472515,0.040430194232644,NA,"hypothetical protein",2472
"15","LMB2_001006",331.234738529812,0.696884210174162,0.211759273134592,3.29092653114289,0.000998579894192881,0.0395713841049838,NA,"asparagine synthase",1006
"16","LMB2_001359",936.496723448479,1.38428126315232,0.41997597067113,3.29609634794155,0.000980383865917478,0.0392680634466947,NA,"ATP-dependent DNA ligase",1359
"17","LMB2_002187",572.042529386368,1.82077130876483,0.551623374188877,3.30075082739586,0.000964264783041157,0.0390422425742208,"ruvA","Holliday junction branch migration protein RuvA",2187
"18","LMB2_000752",91.0839364792335,-0.620498835714894,0.187583458353626,-3.30785476054691,0.000940135530554447,0.0386965980305939,NA,"PH domain-containing protein",752
"19","LMB2_002418",555.512122434418,1.27141077880959,0.384540888955326,3.30630841953792,0.000945339710277597,0.0386965980305939,NA,"DsbA family oxidoreductase",2418
"20","LMB2_002816",1287.49365342126,1.71171492393026,0.516648282330879,3.313114516142,0.000922631945906417,0.0386157752640607,NA,"aldo/keto reductase family protein",2816
"21","LMB2_001785",1281.51708818828,2.17327938463191,0.654297188912813,3.32154779427228,0.000895196491375795,0.0378932605724413,NA,"isocitrate lyase/phosphoenolpyruvate mutase family protein",1785
"22","LMB2_001895",1234.10421518426,2.18502617310705,0.657523834068423,3.32311326205047,0.000890187625280088,0.0378932605724413,NA,"fumarylacetoacetate hydrolase family protein",1895
"23","LMB2_000666",82.9355881970815,-1.35242424121148,0.406249031574288,-3.32905222191077,0.00087142063440576,0.0377446728274588,NA,"zinc transporter permease",666
"24","LMB2_001002",852.693119587236,-0.304481692771138,0.0913708597289365,-3.33237198023989,0.0008610907716294,0.0377360367567002,NA,"copper-translocating P-type ATPase",1002
"25","LMB2_003002",1444.70924276481,1.6586591135342,0.494927166141676,3.35131960216425,0.000804274213200805,0.03566573147825,NA,"MFS transporter",3002
"26","LMB2_000800",1285.54330783751,1.69948403649782,0.506274390879372,3.35684377308895,0.000788376454249823,0.0353819553262722,NA,"FAD-dependent oxidoreductase",800
"27","LMB2_000508",722.673392656544,0.456790124427215,0.135677234516981,3.36674111949153,0.000760620554320046,0.0345525800590509,NA,"lipase maturation factor family protein",508
